Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance,,,,,,,,,,
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,4/18/25,1,4/19/25,-1483.00,305432.47,,,,,,,,,,
Occupancy,Utilities,Electric (Estimated),recurring,PPL,4/9/25,1,4/10/25,-1100.00,293254.72,,,,,,,,,,
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/11/25,1,4/12/25,-5040.68,288214.04,,,,,,,,,,
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,4/11/25,1,4/12/25,-9999.60,282714.04,,,,,,,,,,
Revenue,HUD,HUD drawdown #13,remaining balance $6547.69,Hud Drawdown,4/18/25,1,4/16/25,414251.78,367532.59,,,,,,,,,,
Debt Service,Penn,Interest,recurring,Penn,4/15/25,1,4/16/25,-5250.00,572879.93,,,,,,,,,,
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/18/25,1,4/19/25,-5040.68,567839.25,,,,,,,,,,
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),4/25/25,1,4/26/25,-5040.68,462798.57,,,,,,,,,,
Construction,Low Voltage,Low Voltage Install,due on completion,Micro Innovation,4/30/25,1,5/1/25,-9826.16,452972.41,,,,,,,,,,
Debt Service,Embassy,Interest,interest,Embassy,5/1/25,1,5/2/25,-2057.30,450915.11,,,,,,,,,,
Other,Marketing,Consulting (Website),recurring,Fresh Ink,5/1/25,1,5/2/25,-300.00,450615.11,,,,,,,,,,
Occupancy,Rent,Rent,recurring,Market Flats,5/1/25,1,5/2/25,-14829.00,435786.11,,,,,,,,,,
Revenue,PayPal,Paypal Donations,member equity,Paypal,5/1/25,1,5/2/25,1000.00,436786.11,,,,,,,,,,
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/2/25,1,5/3/25,-5040.68,431745.43,,,,,,,,,,
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,5/5/25,1,5/6/25,-1483.00,430262.43,,,,,,,,,,
Debt Service,LEAF,Interest,principal + interest,LEAF,5/5/25,1,5/6/25,-6037.07,424225.36,,,,,,,,,,
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/9/25,1,5/10/25,-5040.68,319184.68,,,,,,,,,,
Occupancy,Utilities,Electric (Estimated),recurring,PPL,5/9/25,1,5/10/25,-1100.00,318084.68,,,,,,,,,,
Debt Service,Penn,Interest,recurring,Penn,5/15/25,1,5/16/25,-5250.00,289334.68,,,,,,,,,,
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/16/25,1,5/17/25,-5040.68,284294.00,,,,,,,,,,
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/16/25,1,5/17/25,-7000.00,277294.00,,,,,,,,,,
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/23/25,1,5/24/25,-5040.68,272253.32,,,,,,,,,,
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/23/25,1,5/24/25,-7000.00,265253.32,,,,,,,,,,
Equipment,ECRS,Registers + other POS equipment,estimated install date,ECRS,5/30/25,1,5/31/25,-83318.11,181935.21,,,,,,,,,,
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),5/30/25,1,5/31/25,-5040.68,176894.53,,,,,,,,,,
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),5/30/25,1,5/31/25,-7000.00,169894.53,,,,,,,,,,
Debt Service,Embassy,Interest,interest,Embassy,6/1/25,1,6/2/25,-2057.30,108038.18,,,,,,,,,,
Other,Marketing,Consulting (Website),recurring,Fresh Ink,6/1/25,1,6/2/25,-300.00,107738.18,,,,,,,,,,
Occupancy,Rent,Rent,recurring,Market Flats,6/1/25,1,6/2/25,-14829.00,92909.18,,,,,,,,,,
Revenue,PayPal,Paypal Donations,member equity,Paypal,6/1/25,1,6/2/25,1000.00,93909.18,,,,,,,,,,
Debt Service,Embassy,Loan Payoff,interest,Embassy,6/4/25,1,6/5/25,-400000.00,-306090.82,,,,,,,,,,
Debt Service,LEAF,Interest,principal + interest,LEAF,6/5/25,1,6/6/25,-6037.07,-312127.89,,,,,,,,,,
