Category,Subcategory,Description,Vendor,Start Date,Duration,End Date,Amount,Balance,
Revenue,Balance,Current Operating balance,BCM,2/4/25,1,2/5/25,233428.64,233428.64,
Revenue,PayPal,Paypal Donations,Paypal,2/5/25,1,2/6/25,920.98,234349.62,
Debt Service,Embassy,Interest,Embassy,2/7/25,1,2/8/25,-2057.30,232292.32,
Revenue,HUD,HUD drawdown # 10,HUD drawdown,2/7/25,1,2/8/25,35830.92,268123.24,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),2/7/25,1,2/8/25,-6580.68,261542.56,
Equipment,Aperion,Electronic Tag System,Aperion,2/7/25,1,2/8/25,-15383.30,246159.26,
Other,Marketing,50% due on delivery store sign,Reed Sign,2/7/25,1,2/8/25,-11684.91,234474.35,
Occupancy,Utilities,Electric (Estimated),PPL,2/10/25,1,2/11/25,-1100.00,233374.35,
Other,Marketing,Consulting (Website),Fresh Ink,2/10/25,1,2/11/25,-300.00,233074.35,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),2/14/25,1,2/15/25,-6580.68,226493.67,
Revenue,HUD,HUD drawdown #11,Hud Drawdown,2/21/25,1,2/22/25,461562.33,688056.00,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),2/21/25,1,2/22/25,-6580.68,681475.32,
Equipment,Zepole,Equipment Sales Order,Zepole,2/24/25,1,2/25/25,-252145.16,429330.16,
Construction,Low Voltage,Low Voltage Install,Micro Innovation,2/27/25,1,2/1/25,-9826.16,419504.00,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),2/28/25,1,3/1/25,-6127.53,413376.47,
Occupancy,Insurance,Insurance,Cincinnati Insurance,3/1/25,1,3/2/25,-1483.00,411893.47,
Debt Service,Embassy,Interest,Embassy,3/1/25,1,3/2/25,-2057.30,409836.17,
Debt Service,LEAF,Interest,LEAF,3/1/25,1,3/2/25,-2333.33,407502.84,
Debt Service,LEAF,Loan Balance Payment,LEAF,3/1/25,1,3/2/25,-402333.33,5169.51,
Occupancy,Rent,Rent,Market Flats,3/1/25,1,3/2/25,-14829.00,-9659.49,
Revenue,PayPal,Paypal Donations,Paypal,3/1/25,1,3/2/25,1000.00,-8659.49,
Debt Service,Penn,Interest,Penn,3/1/25,1,3/2/25,-5250.00,-13909.49,
Occupancy,Utilities,Electric (Estimated),PPL,3/1/25,1,3/2/25,-1100.00,-15009.49,
Other,Marketing,Consulting (Website),Fresh Ink,3/1/25,1,3/2/25,-300.00,-15309.49,
Project Management,SBS,Estimated Consulting Hours Refill,SBS,3/1/25,1,3/2/25,-5500.00,-20809.49,
Construction,Architecture & Design,Estimated Consulting Hours Refill,Thought For Food,3/1/25,1,3/2/25,-1440.00,-22249.49,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),3/7/25,1,3/8/25,-6580.68,-28830.17,
Revenue,HUD,HUD drawdown #12,HUD drawdown,3/10/25,1,3/11/25,259336.76,230506.59,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),3/14/25,1,3/15/25,-5040.68,225465.91,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),3/21/25,1,3/22/25,-5040.68,220425.23,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),3/28/25,1,3/29/25,-5040.68,215384.55,
Equipment,Aperion,Electronic Tag System,Aperion,3/30/25,1,3/31/25,-32991.70,182392.85,
Occupancy,Insurance,Insurance,Cincinnati Insurance,4/1/25,1,4/2/25,-1483.00,180909.85,
Debt Service,Embassy,Interest,Embassy,4/1/25,1,4/2/25,-2057.30,178852.55,
Debt Service,LEAF,Interest,LEAF,4/1/25,1,4/2/25,-2333.33,176519.22,
Occupancy,Rent,Rent,Market Flats,4/1/25,1,4/2/25,-14829.00,161690.22,
Revenue,PayPal,Paypal Donations,Paypal,4/1/25,1,4/2/25,1000.00,162690.22,
Debt Service,Penn,Interest,Penn,4/1/25,1,4/2/25,-5250.00,157440.22,
Occupancy,Utilities,Electric (Estimated),PPL,4/1/25,1,4/2/25,-1100.00,156340.22,
Other,Marketing,Consulting (Website),Fresh Ink,4/1/25,1,4/2/25,-300.00,156040.22,
Project Management,SBS,Estimated Consulting Hours Refill,SBS,4/1/25,1,4/2/25,-5500.00,150540.22,
Construction,Architecture & Design,Estimated Consulting Hours Refill,Thought For Food,4/1/25,1,4/2/25,-1440.00,149100.22,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),4/4/25,1,4/5/25,-5040.68,144059.54,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),4/11/25,1,4/12/25,-5040.68,139018.86,
Equipment,Zepole,Equipment Sales Order,Zepole,4/14/25,1,4/15/25,-315181.45,-176162.59,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),4/18/25,1,4/19/25,-5040.68,-181203.27,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),4/25/25,1,4/26/25,-5040.68,-186243.95,
Construction,Construction,unbilled (including retainage),Boyle,5/1/25,1,5/2/25,-155267.14,-341511.09,
Occupancy,Insurance,Insurance,Cincinnati Insurance,5/1/25,1,5/2/25,-1483.00,-342994.09,
Supplies & Materials,Interior Decor,Décor Package (Vendor TBD),Decor,5/1/25,1,5/2/25,-70000.00,-412994.09,
Debt Service,Embassy,Interest,Embassy,5/1/25,1,5/2/25,-2057.30,-415051.39,
Debt Service,LEAF,Interest,LEAF,5/1/25,1,5/2/25,-2333.33,-417384.72,
Occupancy,Rent,Rent,Market Flats,5/1/25,1,5/2/25,-14829.00,-432213.72,
Debt Service,Penn,Interest,Penn,5/1/25,1,5/2/25,-5250.00,-437463.72,
Occupancy,Utilities,Electric (Estimated),PPL,5/1/25,1,5/2/25,-1100.00,-438563.72,
Other,Marketing,Consulting (Website),Fresh Ink,5/1/25,1,5/2/25,-300.00,-438863.72,
Project Management,SBS,Estimated Consulting Hours Refill,SBS,5/1/25,1,5/2/25,-5500.00,-444363.72,
Construction,Architecture & Design,Estimated Consulting Hours Refill,Thought For Food,5/1/25,1,5/2/25,-1440.00,-445803.72,
Equipment,Coffee Equipment,Coffee Bar Equipment,Zepole,5/1/25,1,5/2/25,-18000.00,-463803.72,
Supplies & Materials,Small Wares,Kitchen Small Wares,Zepole,5/1/25,1,5/2/25,-18000.00,-481803.72,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),5/2/25,1,5/3/25,-5040.68,-486844.40,
Salary,Payroll (store),Payroll (store),Payroll (store),5/2/25,1,5/3/25,-17088.15,-503932.55,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),5/9/25,1,5/10/25,-5040.68,-508973.23,
Salary,Payroll (store),Payroll (store),Payroll (store),5/9/25,1,5/10/25,-17088.15,-526061.38,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),5/16/25,1,5/17/25,-5040.68,-531102.06,
Salary,Payroll (store),Payroll (store),Payroll (store),5/16/25,1,5/17/25,-17088.15,-548190.21,
Salary,Payroll (store),Payroll (store),Payroll (store),5/16/25,1,5/17/25,-17088.15,-565278.36,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),5/23/25,1,5/24/25,-5040.68,-570319.04,
Salary,Payroll (admin),Payroll (admin),Payroll (admin),5/30/25,1,5/31/25,-5040.68,-575359.72,
Equipment,ECRS,Registers + other POS equipment,ECRS,5/30/25,1,5/31/25,-83318.11,-658677.83,
Equipment,Zepole,Equipment Sales Order,Zepole,5/31/25,1,6/1/25,-59799.05,-718476.88,
Occupancy,Insurance,Insurance,Cincinnati Insurance,6/1/25,1,6/2/25,-1483.00,-719959.88,
Debt Service,Embassy,Interest,Embassy,6/1/25,1,6/2/25,-2057.30,-722017.18,
Debt Service,LEAF,Interest,LEAF,6/1/25,1,6/2/25,-2333.33,-724350.51,
Occupancy,Rent,Rent,Market Flats,6/1/2025,1,6/2/25,-14829.00,-739179.51,
Debt Service,Penn,Interest,Penn,6/1/25,1,6/2/25,-5250.00,-744429.51,
Occupancy,Utilities,Electric (Estimated),PPL,6/1/25,1,6/2/25,-1100.00,-745529.51,
Other,Marketing,Consulting (Website),Fresh Ink,6/1/25,1,6/2/25,-300.00,-745829.51,
Project Management,SBS,Estimated Consulting Hours Refill,SBS,6/1/25,1,6/2/25,-5500.00,-751329.51,
Construction,Architecture & Design,Estimated Consulting Hours Refill,Thought For Food,6/1/25,1,6/2/25,-1440.00,-752769.51,
Other,Opening Inventory,Opening Inventory,KeHe,6/1/25,1,6/2/25,-327412.00,-1080181.51,
Debt Service,Embassy,Loan Payoff,Embassy,6/4/25,1,6/5/25,-400000.00,-1480181.51,
Debt Service,Penn,Loan Payoff,Penn,6/15/25,1,6/16/25,-700000.00,-2180181.51,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
