Category,Subcategory,Description,Vendor,Start Date,Duration,End Date,Amount,Balance
Revenue,Balance,Current Operating balance,BCM,2/13/25,1,2/14/25,212042.33,212042.33
Revenue,HUD,HUD drawdown # 10,HUD drawdown,2/21/25,1,2/22/25,35830.92,247873.25
Salary,Payroll (admin),Payroll (admin),Payroll (admin),2/21/25,1,2/22/25,-6580.68,241292.57
Equipment,Zepole,Equipment Sales Order,Zepole,2/24/25,1,2/25/25,-252145.16,-10852.59
Salary,Payroll (admin),Payroll (admin),Payroll (admin),2/28/25,1,3/1/25,-6127.53,-16980.12
Occupancy,Insurance,Insurance,Cincinnati Insurance,3/1/25,1,3/2/25,-1483.00,-18463.12
Debt Service,Embassy,Interest,Embassy,3/1/25,1,3/2/25,-2057.30,-20520.42
Debt Service,LEAF,Interest,LEAF,3/1/25,1,3/2/25,-2333.33,-22853.75
Debt Service,LEAF,Loan Balance Payment,LEAF,3/1/25,1,3/2/25,-402333.33,-425187.08
Occupancy,Rent,Rent,Market Flats,3/1/25,1,3/2/25,-14829.00,-440016.08
Revenue,PayPal,Paypal Donations,Paypal,3/1/25,1,3/2/25,1000.00,-439016.08
Debt Service,Penn,Interest,Penn,3/1/25,1,3/2/25,-5250.00,-444266.08
Occupancy,Utilities,Electric (Estimated),PPL,3/1/25,1,3/2/25,-1100.00,-445366.08
Other,Marketing,Consulting (Website),Fresh Ink,3/1/25,1,3/2/25,-300.00,-445666.08
Project Management,SBS,Estimated Consulting Hours Refill,SBS,3/1/25,1,3/2/25,-5500.00,-451166.08
Construction,Architecture & Design,Estimated Consulting Hours Refill,Thought For Food,3/1/25,1,3/2/25,-1440.00,-452606.08
Salary,Payroll (admin),Payroll (admin),Payroll (admin),3/7/25,1,3/8/25,-6580.68,-459186.76
Revenue,HUD,HUD drawdown #12,HUD drawdown,3/10/25,1,3/11/25,259336.76,-199850.00
Revenue,HUD,HUD drawdown #11,Hud Drawdown,3/14/25,1,3/15/25,163741.65,-36108.35
Salary,Payroll (admin),Payroll (admin),Payroll (admin),3/14/25,1,3/15/25,-5040.68,-41149.03
Equipment,Aperion,Electronic Tag System,Aperion,3/21/25,1,3/22/25,-15383.30,-56532.33
Salary,Payroll (admin),Payroll (admin),Payroll (admin),3/21/25,1,3/22/25,-5040.68,-61573.01
Salary,Payroll (admin),Payroll (admin),Payroll (admin),3/28/25,1,3/29/25,-5040.68,-66613.69
Equipment,Aperion,Electronic Tag System,Aperion,3/30/25,1,3/31/25,-32991.70,-99605.39
Occupancy,Insurance,Insurance,Cincinnati Insurance,4/1/25,1,4/2/25,-1483.00,-101088.39
Debt Service,Embassy,Interest,Embassy,4/1/25,1,4/2/25,-2057.30,-103145.69
Debt Service,LEAF,Interest,LEAF,4/1/25,1,4/2/25,-2333.33,-105479.02
Occupancy,Rent,Rent,Market Flats,4/1/25,1,4/2/25,-14829.00,-120308.02
Revenue,PayPal,Paypal Donations,Paypal,4/1/25,1,4/2/25,1000.00,-119308.02
Debt Service,Penn,Interest,Penn,4/1/25,1,4/2/25,-5250.00,-124558.02
Occupancy,Utilities,Electric (Estimated),PPL,4/1/25,1,4/2/25,-1100.00,-125658.02
Other,Marketing,Consulting (Website),Fresh Ink,4/1/25,1,4/2/25,-300.00,-125958.02
Project Management,SBS,Estimated Consulting Hours Refill,SBS,4/1/25,1,4/2/25,-5500.00,-131458.02
Construction,Architecture & Design,Estimated Consulting Hours Refill,Thought For Food,4/1/25,1,4/2/25,-1440.00,-132898.02
Construction,Low Voltage,Low Voltage Install,Micro Innovation,4/4/25,1,2/1/25,-9826.16,-142724.18
Salary,Payroll (admin),Payroll (admin),Payroll (admin),4/4/25,1,4/5/25,-5040.68,-147764.86
Salary,Payroll (admin),Payroll (admin),Payroll (admin),4/11/25,1,4/12/25,-5040.68,-152805.54
Equipment,Zepole,Equipment Sales Order,Zepole,4/14/25,1,4/15/25,-315181.45,-467986.99
Salary,Payroll (admin),Payroll (admin),Payroll (admin),4/18/25,1,4/19/25,-5040.68,-473027.67
Salary,Payroll (admin),Payroll (admin),Payroll (admin),4/25/25,1,4/26/25,-5040.68,-478068.35
Construction,Construction,unbilled (including retainage),Boyle,5/1/25,1,5/2/25,-155267.14,-633335.49
Occupancy,Insurance,Insurance,Cincinnati Insurance,5/1/25,1,5/2/25,-1483.00,-634818.49
Supplies & Materials,Interior Decor,Décor Package (Vendor TBD),Decor,5/1/25,1,5/2/25,-70000.00,-704818.49
Debt Service,Embassy,Interest,Embassy,5/1/25,1,5/2/25,-2057.30,-706875.79
Debt Service,LEAF,Interest,LEAF,5/1/25,1,5/2/25,-2333.33,-709209.12
Occupancy,Rent,Rent,Market Flats,5/1/25,1,5/2/25,-14829.00,-724038.12
Debt Service,Penn,Interest,Penn,5/1/25,1,5/2/25,-5250.00,-729288.12
Occupancy,Utilities,Electric (Estimated),PPL,5/1/25,1,5/2/25,-1100.00,-730388.12
Other,Marketing,Consulting (Website),Fresh Ink,5/1/25,1,5/2/25,-300.00,-730688.12
Project Management,SBS,Estimated Consulting Hours Refill,SBS,5/1/25,1,5/2/25,-5500.00,-736188.12
Construction,Architecture & Design,Estimated Consulting Hours Refill,Thought For Food,5/1/25,1,5/2/25,-1440.00,-737628.12
Equipment,Coffee Equipment,Coffee Bar Equipment,Zepole,5/1/25,1,5/2/25,-18000.00,-755628.12
Supplies & Materials,Small Wares,Kitchen Small Wares,Zepole,5/1/25,1,5/2/25,-18000.00,-773628.12
Salary,Payroll (admin),Payroll (admin),Payroll (admin),5/2/25,1,5/3/25,-5040.68,-778668.80
Salary,Payroll (store),Payroll (store),Payroll (store),5/2/25,1,5/3/25,-17088.15,-795756.95
Salary,Payroll (admin),Payroll (admin),Payroll (admin),5/9/25,1,5/10/25,-5040.68,-800797.63
Salary,Payroll (store),Payroll (store),Payroll (store),5/9/25,1,5/10/25,-17088.15,-817885.78
Salary,Payroll (admin),Payroll (admin),Payroll (admin),5/16/25,1,5/17/25,-5040.68,-822926.46
Salary,Payroll (store),Payroll (store),Payroll (store),5/16/25,1,5/17/25,-17088.15,-840014.61
