Category,Subcategory,Description,Notes,Vendor,Start Date,Duration,End Date,Amount,Balance
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,45765,1,45766,-1483,305432.47
Occupancy,Utilities,Electric (Estimated),recurring,PPL,45756,1,45757,-1100,293254.72
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45758,1,45759,-5040.68,288214.04
Project Management,SBS,Estimated Consulting Hours Refill,estimate,SBS,45758,1,45759,-9999.6,282714.04
Revenue,HUD,HUD drawdown #13,remaining balance $6547.69,Hud Drawdown,45765,1,45763,414251.78,367532.59
Debt Service,Penn,Interest,recurring,Penn,45762,1,45763,-5250,572879.93
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45765,1,45766,-5040.68,567839.25
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45772,1,45773,-5040.68,462798.57
Construction,Low Voltage,Low Voltage Install,due on completion,Micro Innovation,45777,1,45778,-9826.16,452972.41
Debt Service,Embassy,Interest,interest,Embassy,45778,1,45779,-2057.3,450915.11
Other,Marketing,Consulting (Website),recurring,Fresh Ink,45778,1,45779,-300,450615.11
Occupancy,Rent,Rent,recurring,Market Flats,45778,1,45779,-14829,435786.11
Revenue,PayPal,Paypal Donations,member equity,Paypal,45778,1,45779,1000,436786.11
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45779,1,45780,-5040.68,431745.43
Occupancy,Insurance,Insurance,recurring,Cincinnati Insurance,45782,1,45783,-1483,430262.43
Debt Service,LEAF,Interest,principal + interest,LEAF,45782,1,45783,-6037.07,424225.36
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45786,1,45787,-5040.68,319184.68
Occupancy,Utilities,Electric (Estimated),recurring,PPL,45786,1,45787,-1100,318084.68
Debt Service,Penn,Interest,recurring,Penn,45792,1,45793,-5250,289334.68
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45793,1,45794,-5040.68,284294
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),45793,1,45794,-7000,277294
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45800,1,45801,-5040.68,272253.32
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),45800,1,45801,-7000,265253.32
Equipment,ECRS,Registers + other POS equipment,estimated install date,ECRS,45807,1,45808,-83318.11,181935.21
Salary,Payroll (admin),Payroll (admin),estimate,Payroll (admin),45807,1,45808,-5040.68,176894.53
Salary,Payroll (store),Payroll (store),estimate,Payroll (store),45807,1,45808,-7000,169894.53
Debt Service,Embassy,Interest,interest,Embassy,45809,1,45810,-2057.3,108038.18
Other,Marketing,Consulting (Website),recurring,Fresh Ink,45809,1,45810,-300,107738.18
